
iteration;status;start;duration;isSuccess;isWarmup
0;200;2017-01-31T21:18:31-05:00;343;true;true
1;200;2017-01-31T21:18:32-05:00;39;true;true
2;200;2017-01-31T21:18:32-05:00;36;true;true
3;200;2017-01-31T21:18:33-05:00;43;true;true
4;200;2017-01-31T21:18:33-05:00;24;true;true
5;200;2017-01-31T21:18:34-05:00;17;true;false
6;200;2017-01-31T21:18:34-05:00;24;true;false
7;200;2017-01-31T21:18:35-05:00;41;true;false
8;200;2017-01-31T21:18:36-05:00;23;true;false
9;200;2017-01-31T21:18:36-05:00;30;true;false
